# time E1 E2 E3 W1 W2 W3 W4 W5 W6
176 -0.0004741 -0.0020458 -0.0015717 0.00016982 -0.00070309 -0.0018688 -0.0011995 -0.0008695 -0.00011919
177 -0.00045646 -0.0020396 -0.0015832 0.00014542 -0.00070868 -0.0018108 -0.0011756 -0.0008491 -0.0001059
178 0.0025564 0.00057462 -0.0019818 -0.0033662 -0.002142 0.0055648 0.0025372 0.0024163 0.0018338
179 0.0091482 0.0070634 -0.0020848 -0.010809 -0.0052795 0.024831 0.012491 0.010828 0.0058622
180 0.015553 0.013103 -0.0024502 -0.018393 -0.0087839 0.043368 0.022206 0.019081 0.0099528
181 0.021691 0.019317 -0.0023736 -0.025883 -0.013149 0.06369 0.034506 0.029071 0.013743
182 0.027769 0.026415 -0.0013541 -0.03368 -0.018189 0.085189 0.04753 0.039618 0.017552
183 0.037027 0.036437 -0.0005904 -0.044564 -0.02164 0.12949 0.069889 0.056185 0.022416
184 0.046435 0.04689 0.00045425 -0.055549 -0.023321 0.17252 0.090165 0.071679 0.027302
185 0.060023 0.060683 0.00065971 -0.069235 -0.020311 0.23884 0.12122 0.09469 0.03432
186 0.075959 0.075436 -0.00052294 -0.084286 -0.010754 0.30455 0.1552 0.12067 0.042869
187 0.09296 0.091354 -0.0016053 -0.10044 -0.0013326 0.35594 0.19251 0.15023 0.052589
188 0.10796 0.10517 -0.0027837 -0.11512 -0.0028226 0.37681 0.22968 0.18024 0.062002
189 0.12536 0.1214 -0.0039564 -0.1293 0.002782 0.40449 0.27365 0.21509 0.072724
190 0.1421 0.13766 -0.0044459 -0.14235 0.0023583 0.40758 0.31357 0.24907 0.084757
191 0.15413 0.15621 0.0020794 -0.15491 -0.025735 0.36235 0.3465 0.28153 0.098078
192 0.16248 0.18026 0.017774 -0.16856 -0.080954 0.2841 0.3809 0.3166 0.11064
193 0.17431 0.20807 0.033759 -0.18493 -0.12272 0.21143 0.42464 0.35995 0.12424
194 0.18939 0.23755 0.04816 -0.1973 -0.12736 0.13136 0.47036 0.40585 0.1391
195 0.20704 0.26971 0.062679 -0.21432 -0.14697 0.047215 0.50763 0.4463 0.15353
196 0.22477 0.30729 0.082526 -0.23557 -0.20068 -0.045772 0.54494 0.49105 0.17026
197 0.23112 0.35131 0.1202 -0.26294 -0.38982 -0.1439 0.57888 0.53378 0.18652
198 0.23417 0.40099 0.16682 -0.28674 -0.53313 -0.25357 0.60565 0.57335 0.19728
199 0.23954 0.4584 0.21886 -0.3166 -0.67035 -0.37944 0.63089 0.61962 0.20851
200 0.2483 0.52232 0.27402 -0.33906 -0.74408 -0.46275 0.66965 0.67565 0.2164
201 0.26245 0.5891 0.32664 -0.36701 -0.78985 -0.53413 0.70952 0.73477 0.22364
202 0.27937 0.64646 0.36709 -0.39423 -0.82371 -0.59139 0.75575 0.80062 0.23136
203 0.29508 0.7095 0.41442 -0.42855 -0.87028 -0.65451 0.79095 0.8568 0.23759
204 0.3078 0.76856 0.46076 -0.45997 -0.91386 -0.71901 0.8267 0.91427 0.2434
205 0.31954 0.82205 0.50251 -0.4854 -0.95142 -0.77544 0.85468 0.96805 0.25059
206 0.33051 0.88013 0.54963 -0.50742 -0.98625 -0.81793 0.87804 1.0172 0.25615
207 0.34032 0.93853 0.59821 -0.53079 -1.0231 -0.85953 0.87243 1.0525 0.26464
208 0.35063 0.98879 0.63816 -0.55404 -1.0544 -0.89719 0.82885 1.0702 0.27645
